"citation","book","chapter","verse","text"
"Romans 16:15","Romans",16,15,"Salute Philologus, and Julia, Nereus, and his sister, and Olympas, and all the saints which are with them. 
"
"1 Chronicles 25:18","1 Chronicles",25,18,"The eleventh to Azareel, he, his sons, and his brethren, were twelve: 
"
"Genesis 24:60","Genesis",24,60,"And they blessed Rebekah, and said unto her, Thou art our sister, be thou the mother of thousands of millions, and let thy seed possess the gate of those which hate them. 
"
"Ezekiel 12:16","Ezekiel",12,16,"But I will leave a few men of them from the sword, from the famine, and from the pestilence; that they may declare all their abominations among the heathen whither they come; and they shall know that I am the LORD. 
"
"Romans 2:29","Romans",2,29,"But he is a Jew, which is one inwardly; and circumcision is that of the heart, in the spirit, and not in the letter; whose praise is not of men, but of God. 
"
"Jeremiah 51:25","Jeremiah",51,25,"Behold, I am against thee, O destroying mountain, saith the LORD, which destroyest all the earth: and I will stretch out mine hand upon thee, and roll thee down from the rocks, and will make thee a burnt mountain. 
"
"Matthew 22:36","Matthew",22,36,"Master, which is the great commandment in the law? 
"
"Job 32:2","Job",32,2,"Then was kindled the wrath of Elihu the son of Barachel the Buzite, of the kindred of Ram: against Job was his wrath kindled, because he justified himself rather than God. 
"
"2 Thessalonians 2:14","2 Thessalonians",2,14,"Whereunto he called you by our gospel, to the obtaining of the glory of our Lord Jesus Christ. 
"
"Isaiah 43:1","Isaiah",43,1,"But now thus saith the LORD that created thee, O Jacob, and he that formed thee, O Israel, Fear not: for I have redeemed thee, I have called thee by thy name; thou art mine. 
"
"2 Kings 14:10","2 Kings",14,10,"Thou hast indeed smitten Edom, and thine heart hath lifted thee up: glory of this, and tarry at home: for why shouldest thou meddle to thy hurt, that thou shouldest fall, even thou, and Judah with thee? 
"
"Jeremiah 46:18","Jeremiah",46,18,"As I live, saith the King, whose name is the LORD of hosts, Surely as Tabor is among the mountains, and as Carmel by the sea, so shall he come. 
"
"Psalms 34:16","Psalms",34,16,"The face of the LORD is against them that do evil, to cut off the remembrance of them from the earth. 
"
"Psalms 83:1","Psalms",83,1,"Keep not thou silence, O God: hold not thy peace, and be not still, O God. 
"
"Genesis 8:17","Genesis",8,17,"Bring forth with thee every living thing that is with thee, of all flesh, both of fowl, and of cattle, and of every creeping thing that creepeth upon the earth; that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth. 
"
"Isaiah 29:19","Isaiah",29,19,"The meek also shall increase their joy in the LORD, and the poor among men shall rejoice in the Holy One of Israel. 
"
"Proverbs 3:7","Proverbs",3,7,"Be not wise in thine own eyes: fear the LORD, and depart from evil. 
"
"3 John 1:9","3 John",1,9,"I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not. 
"
"Matthew 2:1","Matthew",2,1,"Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king, behold, there came wise men from the east to Jerusalem, 
"
"Psalms 149:1","Psalms",149,1,"Praise ye the LORD. Sing unto the LORD a new song, and his praise in the congregation of saints. 
"
"Daniel 5:15","Daniel",5,15,"And now the wise men, the astrologers, have been brought in before me, that they should read this writing, and make known unto me the interpretation thereof: but they could not shew the interpretation of the thing: 
"
"2 Kings 19:18","2 Kings",19,18,"And have cast their gods into the fire: for they were no gods, but the work of men's hands, wood and stone: therefore they have destroyed them. 
"
"Ezekiel 44:16","Ezekiel",44,16,"They shall enter into my sanctuary, and they shall come near to my table, to minister unto me, and they shall keep my charge. 
"
"Psalms 124:6","Psalms",124,6,"Blessed be the LORD, who hath not given us as a prey to their teeth. 
"
"Genesis 22:6","Genesis",22,6,"And Abraham took the wood of the burnt offering, and laid it upon Isaac his son; and he took the fire in his hand, and a knife; and they went both of them together. 
"
"Jeremiah 17:27","Jeremiah",17,27,"But if ye will not hearken unto me to hallow the sabbath day, and not to bear a burden, even entering in at the gates of Jerusalem on the sabbath day; then will I kindle a fire in the gates thereof, and it shall devour the palaces of Jerusalem, and it shall not be quenched. 
"
"1 Corinthians 3:2","1 Corinthians",3,2,"I have fed you with milk, and not with meat: for hitherto ye were not able to bear it, neither yet now are ye able. 
"
"Isaiah 38:14","Isaiah",38,14,"Like a crane or a swallow, so did I chatter: I did mourn as a dove: mine eyes fail with looking upward: O LORD, I am oppressed; undertake for me. 
"
"Deuteronomy 23:18","Deuteronomy",23,18,"Thou shalt not bring the hire of a whore, or the price of a dog, into the house of the LORD thy God for any vow: for even both these are abomination unto the LORD thy God. 
"
"Numbers 31:37","Numbers",31,37,"And the LORD's tribute of the sheep was six hundred and threescore and fifteen. 
"
"1 Chronicles 15:15","1 Chronicles",15,15,"And the children of the Levites bare the ark of God upon their shoulders with the staves thereon, as Moses commanded according to the word of the LORD. 
"
"Daniel 3:4","Daniel",3,4,"Then an herald cried aloud, To you it is commanded, O people, nations, and languages, 
"
"Matthew 28:1","Matthew",28,1,"In the end of the sabbath, as it began to dawn toward the first day of the week, came Mary Magdalene and the other Mary to see the sepulchre. 
"
"2 Corinthians 10:1","2 Corinthians",10,1,"Now I Paul myself beseech you by the meekness and gentleness of Christ, who in presence am base among you, but being absent am bold toward you: 
"
"Numbers 4:24","Numbers",4,24,"This is the service of the families of the Gershonites, to serve, and for burdens: 
"
"Isaiah 11:1","Isaiah",11,1,"And there shall come forth a rod out of the stem of Jesse, and a Branch shall grow out of his roots: 
"
"Daniel 9:8","Daniel",9,8,"O Lord, to us belongeth confusion of face, to our kings, to our princes, and to our fathers, because we have sinned against thee. 
"
"Psalms 106:8","Psalms",106,8,"Nevertheless he saved them for his name's sake, that he might make his mighty power to be known. 
"
"Luke 7:28","Luke",7,28,"For I say unto you, Among those that are born of women there is not a greater prophet than John the Baptist: but he that is least in the kingdom of God is greater than he. 
"
"Job 8:6","Job",8,6,"If thou wert pure and upright; surely now he would awake for thee, and make the habitation of thy righteousness prosperous. 
"
"2 Samuel 24:5","2 Samuel",24,5,"And they passed over Jordan, and pitched in Aroer, on the right side of the city that lieth in the midst of the river of Gad, and toward Jazer: 
"
